customer_id,birth_year,gender,state,annual_income,years_employed
1001,1984,F,CA,72000,8
1002,1978,M,TX,58000,4
1003,1992,F,NY,94000,6
1004,1969,M,FL,41000,2
1005,1988,F,IL,63500,5
1006,1996,M,WA,52000,1
1007,1975,F,AZ,81000,12
1008,1981,M,NV,47000,3
1009,1990,F,CO,68000,7
1010,1965,M,OH,39000,1
1011,1987,F,GA,76000,9
1012,1994,M,NC,61000,4
1013,1972,F,MI,88000,13
1014,1983,M,PA,54000,5
1015,1998,F,OR,45000,1
1016,1979,M,TN,67000,8
1017,1986,F,MA,112000,10
1018,1991,M,UT,56000,3
1019,1970,F,MO,73000,11
1020,1995,M,SC,43000,2
1021,1982,F,VA,97000,9
1022,1977,M,IN,51000,4
1023,1989,F,MN,79000,6
1024,1968,M,KY,36000,1
1025,1993,F,MD,83000,5
1026,1980,M,WI,62000,7
1027,1974,F,NJ,105000,14
1028,1997,M,NM,39000,1
1029,1985,F,CT,91000,8
1030,1971,M,AL,44000,2
