application_id,customer_id,application_date,loan_amount,loan_term_months,interest_rate,employment_status,housing_status,purpose,requested_payment,defaulted
5001,1001,2025-01-05,18000,48,8.9,employed,mortgage,debt_consolidation,448,0
5002,1002,2025-01-07,14500,60,15.4,employed,rent,medical,348,1
5003,1003,2025-01-09,22000,48,7.4,self_employed,mortgage,business,532,0
5004,1004,2025-01-12,9800,36,21.5,contractor,rent,car_repair,372,1
5005,1005,2025-01-14,12000,36,11.7,employed,rent,debt_consolidation,397,0
5006,1006,2025-01-15,9000,48,19.9,employed,rent,moving,274,1
5007,1007,2025-01-19,26000,60,9.2,employed,mortgage,home_improvement,542,0
5008,1008,2025-01-21,11500,48,18.6,contractor,rent,medical,337,1
5009,1009,2025-01-22,15500,36,10.8,employed,mortgage,debt_consolidation,506,0
5010,1010,2025-01-25,7800,36,24.1,unemployed,rent,emergency,306,1
5011,1011,2025-02-02,19000,48,8.7,employed,mortgage,debt_consolidation,470,0
5012,1012,2025-02-05,13500,60,14.2,employed,rent,wedding,315,1
5013,1013,2025-02-06,30000,60,7.9,self_employed,mortgage,business,608,0
5014,1014,2025-02-08,10500,36,16.8,employed,rent,car_purchase,374,1
5015,1015,2025-02-10,8200,36,20.5,employed,rent,education,307,1
5016,1016,2025-02-14,16500,48,11.2,employed,mortgage,debt_consolidation,430,0
5017,1017,2025-02-18,34000,60,6.8,employed,mortgage,home_improvement,671,0
5018,1018,2025-02-21,12800,48,17.9,contractor,rent,medical,376,1
5019,1019,2025-02-23,21000,60,9.6,employed,mortgage,debt_consolidation,441,0
5020,1020,2025-02-25,9500,36,22.4,employed,rent,emergency,365,1
5021,1021,2025-03-01,28000,48,7.1,employed,mortgage,business,678,0
5022,1022,2025-03-03,11900,48,17.3,contractor,rent,medical,345,1
5023,1023,2025-03-06,17500,36,9.9,employed,mortgage,debt_consolidation,563,0
5024,1024,2025-03-08,7000,36,25.8,unemployed,rent,emergency,283,1
5025,1025,2025-03-10,20500,48,8.4,self_employed,mortgage,business,504,0
5026,1026,2025-03-14,14200,48,12.8,employed,rent,car_purchase,382,0
5027,1027,2025-03-18,36000,60,6.5,employed,mortgage,home_improvement,704,0
5028,1028,2025-03-21,8800,36,23.2,employed,rent,moving,341,1
5029,1029,2025-03-25,24000,48,7.6,employed,mortgage,debt_consolidation,581,0
5030,1030,2025-03-28,10200,36,21.9,contractor,rent,medical,388,1
