customer_id,bureau_score,open_accounts,delinquencies_2y,inquiries_6m,revolving_utilization,debt_to_income
1001,706,7,0,1,0.31,0.28
1002,612,9,2,4,0.78,0.47
1003,748,5,0,0,0.22,0.24
1004,566,6,3,5,0.91,0.58
1005,681,8,0,2,0.44,0.35
1006,594,4,1,4,0.83,0.52
1007,721,6,0,1,0.27,0.26
1008,603,7,2,3,0.74,0.49
1009,697,5,0,1,0.39,0.32
1010,528,3,4,6,0.96,0.63
1011,715,8,0,1,0.34,0.30
1012,626,7,1,3,0.69,0.44
1013,741,9,0,0,0.25,0.22
1014,638,6,1,2,0.61,0.43
1015,582,4,2,5,0.87,0.55
1016,672,8,0,2,0.47,0.36
1017,772,7,0,0,0.18,0.19
1018,617,5,2,3,0.72,0.48
1019,704,6,0,1,0.33,0.31
1020,552,4,3,5,0.89,0.57
1021,759,7,0,0,0.21,0.23
1022,632,6,1,3,0.67,0.45
1023,699,8,0,1,0.36,0.29
1024,514,3,4,6,0.98,0.66
1025,733,5,0,1,0.29,0.27
1026,661,7,0,2,0.52,0.39
1027,781,9,0,0,0.17,0.18
1028,548,4,3,6,0.93,0.61
1029,746,6,0,1,0.26,0.25
1030,571,5,3,5,0.88,0.59
