customer_id,payments_on_time_12m,payments_late_12m,months_since_last_late,previous_defaults
1001,12,0,99,0
1002,8,4,2,1
1003,12,0,99,0
1004,6,6,1,1
1005,11,1,9,0
1006,8,4,3,0
1007,12,0,99,0
1008,7,5,2,1
1009,11,1,8,0
1010,5,7,1,1
1011,12,0,99,0
1012,9,3,4,0
1013,12,0,99,0
1014,9,3,5,0
1015,7,5,2,0
1016,11,1,7,0
1017,12,0,99,0
1018,8,4,3,1
1019,11,1,10,0
1020,6,6,2,1
1021,12,0,99,0
1022,9,3,4,0
1023,11,1,8,0
1024,4,8,1,1
1025,12,0,99,0
1026,10,2,6,0
1027,12,0,99,0
1028,5,7,1,1
1029,12,0,99,0
1030,6,6,2,1
